Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_23_02,0,0,81,1
2023_06_01_23_03,0,0,81,1
2023_06_01_23_03,0,0,81,1
2023_06_01_23_04,0,0,81,1
2023_06_01_23_04,0,0,81,1
2023_06_01_23_05,0,0,81,1
2023_06_01_23_05,0,0,82,1
2023_06_01_23_06,0,0,82,1
2023_06_01_23_06,0,0,82,2
2023_06_01_23_07,0,0,81,2
2023_06_01_23_07,0,0,82,2
2023_06_01_23_08,0,0,81,2
2023_06_01_23_08,0,0,81,2
2023_06_01_23_09,0,0,81,2
2023_06_01_23_09,0,0,82,2
2023_06_01_23_10,0,0,82,2
2023_06_01_23_10,0,0,81,2
2023_06_01_23_11,0,0,82,2
2023_06_01_23_11,0,0,81,2
2023_06_01_23_12,0,0,81,2
2023_06_01_23_12,0,0,81,2
2023_06_01_23_13,0,0,82,2
2023_06_01_23_13,0,0,81,2
2023_06_01_23_14,0,0,81,2
2023_06_01_23_14,0,0,81,2
2023_06_01_23_15,0,0,82,2
2023_06_01_23_15,0,0,81,2
2023_06_01_23_16,0,0,82,2
2023_06_01_23_16,0,0,81,2
2023_06_01_23_17,0,0,81,2
2023_06_01_23_17,0,0,81,2
2023_06_01_23_18,0,0,81,3
2023_06_01_23_18,0,0,81,3
2023_06_01_23_19,0,0,81,3
2023_06_01_23_19,0,0,81,3
2023_06_01_23_20,0,0,81,3
2023_06_01_23_20,0,0,82,3
2023_06_01_23_21,0,0,81,3
2023_06_01_23_21,0,0,81,3
2023_06_01_23_22,0,0,81,3
2023_06_01_23_22,0,0,82,3
2023_06_01_23_23,0,0,82,3
2023_06_01_23_23,0,0,81,3
2023_06_01_23_24,0,0,82,3
2023_06_01_23_24,0,0,81,4
2023_06_01_23_25,0,0,81,4
2023_06_01_23_25,0,0,81,4
2023_06_01_23_26,0,0,81,4
2023_06_01_23_26,0,0,81,4
2023_06_01_23_27,0,0,82,4
2023_06_01_23_27,0,0,81,4
2023_06_01_23_28,0,0,82,4
2023_06_01_23_28,0,0,81,5
2023_06_01_23_29,0,0,82,5
2023_06_01_23_29,0,0,82,5
2023_06_01_23_30,0,0,82,5
2023_06_01_23_30,0,0,81,5
2023_06_01_23_31,0,0,82,5
2023_06_01_23_31,0,0,81,5
2023_06_01_23_32,0,0,81,5
2023_06_01_23_32,0,0,81,5
2023_06_01_23_33,0,0,81,5
2023_06_01_23_33,0,0,81,6
2023_06_01_23_34,0,0,81,6
2023_06_01_23_34,0,0,81,6
2023_06_01_23_35,0,0,81,6
2023_06_01_23_35,0,0,82,6
2023_06_01_23_36,0,0,81,7
2023_06_01_23_36,0,0,81,7
2023_06_01_23_37,0,0,81,7
2023_06_01_23_37,0,0,82,7
2023_06_01_23_38,0,0,81,7
2023_06_01_23_38,0,0,82,7
2023_06_01_23_39,0,0,81,7
2023_06_01_23_39,0,0,81,7
2023_06_01_23_40,0,0,81,7
2023_06_01_23_40,0,0,81,7
2023_06_01_23_41,0,0,81,8
2023_06_01_23_41,0,0,81,8
2023_06_01_23_42,0,0,81,7
